Vote,Avg_environmental_importance,Avg_size_per_room,Avg_Residancy_Altitude,Avg_education_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Weighted_education_rank,Last_school_grades,Most_Important_Issue,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Overall_happiness_score
1.0,-2.287307443510243,-2.198587812329763,-2.1452085789240396,-2.4758466604586697,0.03190431724030478,-2.3324822513932735,2.0,-1.2715304067217867,-2.0183624433752367,-0.14285714285714302,2.0,-0.7857001993530899,2.4072908238536144,-1.9137342633853474
2.0,0.7892691831456824,0.6281950254286972,-0.2988433152395669,0.6166469208794028,-1.265135554081056,0.625739576375835,2.0,-0.6281144527927415,-0.4420901045689494,0.4285714285714284,4.0,-0.39085857393430096,-0.18929021532461382,1.0211034836323623
11.0,-0.19433774083892066,-0.5580742547505217,-0.46421379011221753,-0.3834625936502457,-1.2187523243232594,-0.34815180347256464,1.0,0.19122396635278294,-0.42384968650127736,0.2857142857142856,7.0,-1.1805418247718789,-0.06520270644954071,0.3653157462394265
1.0,-0.8182882199720531,0.24214775176516706,-1.2644005376691752,0.31430731447239363,1.4680735647800456,-0.5868383618697142,1.0,-1.1759756508981016,-1.4530101491427003,0.1428571428571428,7.0,0.003983051484488037,1.5057812407164388,-1.9164991617301463
8.0,0.6945376564453566,0.38170400625805206,1.5844774723855068,0.4257697247961081,0.8038657146483961,0.7515659026614006,2.0,2.1315408323409124,1.7004736266330427,-0.4285714285714286,6.0,-1.1805418247718789,-0.525602473269299,0.7654774291348039
9.0,0.5781511273482149,0.15279828334360046,0.5238152606366802,-0.014335697593912799,-0.3377801804568405,0.4667537579864678,2.0,0.3879880895400791,0.5566359068469635,1.0,2.0,0.793666302322066,-0.6493640380645633,1.0006500486582535
9.0,0.23309516422585072,0.1609364482176112,0.17040175417934394,0.24822613705152102,-0.4472446026852408,0.21426544276041837,2.0,0.19122396635278294,0.1610866747265149,0.4285714285714284,4.0,0.003983051484488037,-0.7612178087369863,0.2808835451407243
9.0,0.48402967929811025,0.31015197324793303,0.4700882701064065,0.36894414278494536,0.2073773799631305,0.45111071639169054,1.0,0.2809442469734944,0.4698304866311322,0.714285714285714,1.0,0.793666302322066,-0.9640354268089784,0.5964896992107894
7.0,-2.212429051706989,-2.130586425418134,-1.3791733656744585,-2.3472274986916233,2.0293106448493856,-2.162006369543454,2.0,-1.0737889464322712,-1.1756286455720448,1.0,2.0,1.583349553159644,2.03397510954324,-1.9789798448381661
3.0,0.5269441689500561,0.7431938534603302,0.4726562097529929,0.7032788221488362,-0.6374158446922072,0.6094303436493617,2.0,0.19589760902639472,0.39870837914921026,-1.0,5.0,-2.365066701028246,-1.0120863480272615,0.13522012018685886
1.0,-1.9986414463782645,0.04102886965368432,0.08969769452984734,-1.831621442496832,0.26984012937029644,-2.029030243116571,2.0,-1.2695474012550447,-1.974837851921181,1.0,2.0,0.398824676903277,2.1658496249826547,-1.7765753401662296
9.0,0.20049524996762946,-0.05931284914597602,0.09330565713606519,0.06413811215001737,-0.3056211411581014,0.11691647267357723,2.0,-0.12190739165805148,0.11273216331474756,-0.14285714285714302,2.0,0.003983051484488037,-0.6212723676856171,0.5057103040126141
2.0,0.7018543193639792,0.4851754830700217,-0.22549396500112046,0.5067919414476395,-1.648261031880457,0.5397589033150259,1.0,-0.5424577632049706,-0.3358490671999515,-0.14285714285714302,2.0,0.003983051484488037,-0.2701077086016601,0.994397719456247
9.0,1.3999470298265368,2.9783139901073334,-0.8607024085478245,2.1652858332881806,-0.3909662839124473,1.6322945217532292,1.0,-1.1811248190658075,-1.4702490660316136,0.4285714285714284,4.0,1.188507927740855,1.233534098503755,-0.5218049140037311
9.0,0.2663786591052466,-0.00680201852778343,0.5349754280768001,0.10870327243403222,-0.8878852853843096,0.23286814656430066,2.0,0.4381511553928592,0.5963507824079047,-0.14285714285714302,2.0,0.003983051484488037,-0.8740825468073677,0.5020948384017049
11.0,-0.3158758129868249,-0.751260622855295,-0.5488766626579082,-0.5707031154782389,0.09451152088582508,-0.4915188300711447,2.0,-0.6613995325622943,-0.48526711024384533,1.0,2.0,-0.39085857393430096,0.06515483104107768,0.3565387579161015
9.0,0.044998564173922284,-0.026384054795529653,-0.3118432763750327,0.0921354767051813,-0.17358354711423993,-0.00638279241104418,2.0,-0.5498412964588998,-0.3447526421105445,1.0,2.0,1.583349553159644,-0.329967603895546,0.24782412596844405
